Code_INSEE;Nom_commune;Code_postal;coordonnees_gps;Population
42174;PONCINS;42110;45.7273, 4.1506;1034
42181;REGNY;42630;45.9973, 4.21375;1576
42192;ROZIER COTES D AUREC;42380;45.3763, 4.11432;471
42195;SAIL SOUS COUZAN;42890;45.7364, 3.96098;949
42197;STE AGATHE LA BOUTERESSE;42130;45.7436, 4.05118;1045
42199;ST ANDRE D APCHON;42370;46.0272, 3.93483;2033
42212;ST CYR DE FAVIERES;42123;45.9617, 4.10514;893
42216;ST DENIS SUR COISE;42140;45.6116, 4.43092;677
42217;ST DIDIER SUR ROCHEFORT;42111;45.7934, 3.86368;415
42218;ST ETIENNE;42100;45.4301, 4.37914;173662
42226;ST GEORGES DE BAROILLE;42510;45.8536, 4.10712;412
42234;ST HEAND;42570;45.5305, 4.38204;3669
42245;ST JULIEN LA VETRE;42440;45.8203, 3.81786;362
42246;ST JULIEN MOLIN MOLETTE;42220;45.3216, 4.61803;1187
42260;ST MARTIN LA SAUVETE;42260;45.8367, 3.92057;1032
42261;ST MARTIN LESTRA;42110;45.7315, 4.36883;907
42266;ST NIZIER DE FORNAS;42380;45.4047, 4.08255;685
42271;ST PAUL EN JAREZ;42740;45.4706, 4.57894;4899
42274;ST POLGUES;42260;45.9096, 3.98139;265
42276;ST PRIEST LA PRUGNE;42830;45.9461, 3.74228;445
42277;ST PRIEST LA ROCHE;42590;45.9202, 4.10634;346
42283;ST ROMAIN EN JAREZ;42800;45.5651, 4.5415;1234
42285;ST ROMAIN LE PUY;42610;45.5569, 4.13106;3930
42288;ST SIXTE;42130;45.7724, 3.97422;738
42290;ST THOMAS LA GARDE;42600;45.5714, 4.08597;614
42291;ST THURIN;42111;45.8188, 3.88478;196
42298;SAUVAIN;42990;45.6641, 3.86011;393
42299;SAVIGNEUX;42600;45.6224, 4.1004;3504
42310;THELIS LA COMBE;42220;45.3361, 4.54731;168
42318;USSON EN FOREZ;42550;45.3919, 3.93425;1526
42325;VENDRANGES;42590;45.9331, 4.13536;370
42327;VERIN;42410;45.46, 4.74079;694
42331;VILLEMONTAIS;42155;45.9825, 3.93641;1052
42334;VIOLAY;42780;45.8519, 4.34939;1266
42335;VIRICELLES;42140;45.655, 4.38156;471
43001;AGNAT;43100;45.345, 3.45018;193
43003;ALLEGRE;43270;45.1884, 3.68991;971
43004;ALLEYRAC;43150;44.8945, 3.98915;122
43009;ARLET;43380;45.1126, 3.41043;25
43012;AUREC SUR LOIRE;43110;45.3689, 4.2046;6215
43015;AUVERS;43300;44.9967, 3.39158;61
43017;AZERAT;43390;45.3535, 3.39901;276
43019;BARGES;43340;44.834, 3.88417;77
43031;BLASSAC;43380;45.1611, 3.38428;147
43038;BOURNONCLE ST PIERRE;43360;45.3432, 3.32397;1023
43038;BOURNONCLE ST PIERRE;43360;45.3432, 3.32397;1023
43044;CERZAT;43380;45.1591, 3.47227;210
43053;CHAMPCLAUSE;43430;45.0245, 4.16079;205
43054;CHANALEILLES;43170;44.8574, 3.48786;200
